job,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
10,1787,1,1,0,19,10,79,1,-1,0,no
7,4789,0,0,0,11,5,220,1,339,4,no
4,1350,0,1,0,16,4,185,1,330,1,no
4,747,1,1,0,23,2,141,2,176,3,no
6,307,0,1,0,14,5,341,1,330,2,no
9,147,0,1,0,6,5,151,2,-1,0,no
7,-88,0,0,0,17,4,313,1,147,2,no
0,264,0,1,0,17,4,113,2,-1,0,no
9,1109,1,1,0,13,8,328,2,-1,0,no
8,502,1,1,0,30,4,261,1,-1,0,yes
1,360,0,0,0,29,1,89,1,241,1,no
4,194,1,0,0,29,8,189,2,-1,0,no
9,4073,1,1,0,27,8,239,5,-1,0,no
0,2317,0,1,0,20,4,114,1,152,2,no
7,132,1,1,0,7,7,148,1,152,1,no
4,16,1,1,0,19,11,140,3,-1,0,no
2,93,1,1,0,7,7,125,2,-1,0,no
3,543,1,1,0,30,1,169,3,-1,0,no
4,5883,1,1,0,20,11,182,2,-1,0,no
6,784,1,0,0,30,7,149,2,-1,0,no
0,105,1,0,0,21,8,74,2,-1,0,no
5,4189,1,1,1,14,7,897,2,-1,0,yes
9,171,1,1,0,27,8,81,3,-1,0,no
4,42,1,1,0,21,11,40,1,-1,0,no
4,2536,0,1,0,26,8,958,6,-1,0,yes
9,1235,1,1,0,13,8,354,3,-1,0,yes
5,229,1,1,1,22,10,97,1,-1,0,yes
1,2089,0,1,0,14,11,132,1,-1,0,yes
4,3935,0,1,0,6,5,765,1,342,2,yes
4,553,1,1,0,11,8,106,2,-1,0,no
1,1117,0,1,0,13,5,365,1,-1,0,no
9,396,0,1,0,13,5,205,3,-1,0,no
9,2204,0,1,0,21,11,11,4,-1,0,no
1,145,1,1,1,2,2,59,3,5,2,no
2,-849,0,0,0,4,2,204,1,-1,0,no
9,228,0,1,0,20,8,1740,2,-1,0,no
9,50,1,1,0,29,8,98,2,-1,0,no
9,1539,0,1,0,15,6,441,1,56,1,yes
1,2231,0,1,0,14,7,272,3,-1,0,no
0,3064,0,1,1,15,7,159,2,-1,0,no
4,82,1,0,1,4,2,140,1,-1,0,no
6,2155,1,1,0,17,11,295,1,-1,0,no
1,-516,1,0,1,8,7,554,3,-1,0,no
5,415,0,1,0,7,10,323,1,-1,0,no
4,5887,1,1,0,13,8,227,2,-1,0,no
7,1355,1,1,0,4,7,134,2,-1,0,no
0,16873,1,1,0,7,10,223,1,-1,0,no
1,203,0,1,0,8,5,134,1,170,5,no
7,338,0,1,0,28,1,155,1,-1,0,no
9,444,0,1,0,21,7,130,4,-1,0,no
4,0,1,0,0,7,7,630,3,-1,0,no
9,360,1,1,0,19,11,164,2,-1,0,no
4,0,1,1,0,16,7,268,2,182,3,yes
4,3222,1,1,0,14,8,67,2,-1,0,no
1,174,0,1,0,14,5,367,2,297,1,no
9,591,1,0,0,14,8,87,6,-1,0,no
1,388,1,1,0,5,2,701,1,-1,0,no
10,219,0,1,0,17,11,204,2,196,1,no
0,451,0,1,0,16,7,652,1,-1,0,yes
5,5,1,1,0,26,8,63,2,-1,0,no
0,177,0,0,0,6,5,150,1,-1,0,no
7,657,1,1,1,7,7,398,2,460,2,yes
4,1315,1,1,0,30,6,224,1,-1,0,yes
9,879,1,0,0,7,7,60,4,-1,0,no
0,424,0,1,0,17,4,279,1,-1,0,no
1,111,1,1,0,18,11,201,2,-1,0,no
7,-195,0,1,0,18,5,391,1,-1,0,yes
4,3616,1,1,0,14,8,165,2,-1,0,no
1,14093,1,1,0,11,8,231,5,-1,0,no
0,261,1,1,0,19,10,233,1,137,20,no
1,2843,1,1,0,12,2,473,1,182,1,no
10,406,1,1,0,4,2,736,1,-1,0,yes
4,493,0,1,0,11,5,553,1,367,7,no
9,5996,1,1,1,21,11,345,2,-1,0,no
7,3777,0,1,1,13,5,65,2,-1,0,no
4,574,0,1,0,14,4,259,2,145,3,no
6,483,0,1,0,3,2,280,2,-1,0,no
10,3391,1,1,0,21,4,243,1,-1,0,yes
3,0,0,1,0,23,7,435,3,-1,0,no
8,2488,1,1,0,30,6,258,6,169,3,yes
4,1517,0,1,1,29,7,7,5,-1,0,no
6,217,0,0,0,15,7,317,5,-1,0,no
1,22,1,1,0,30,1,76,2,207,1,no
8,331,1,1,1,26,8,170,4,-1,0,yes
9,505,1,0,0,17,11,386,2,-1,0,yes
7,1808,0,1,0,18,5,83,2,-1,0,no
0,4111,1,0,0,19,8,65,1,-1,0,no
1,52,1,1,0,13,8,69,1,-1,0,no
0,1890,0,1,0,21,7,588,1,-1,0,no
1,419,1,1,0,18,8,113,4,-1,0,no
1,-231,1,0,0,15,7,779,2,-1,0,no
4,-55,0,1,0,11,5,281,2,266,6,no
6,462,1,1,0,21,8,1877,3,-1,0,yes
9,586,1,0,0,28,7,32,3,-1,0,no
1,228,1,1,1,5,2,176,1,288,3,no
5,4659,1,1,0,14,4,161,1,-1,0,yes
1,168,0,1,0,18,11,187,3,-1,0,no
4,0,1,1,0,28,8,236,10,-1,0,no
0,428,0,0,0,7,5,54,1,345,2,no
4,0,1,1,0,5,2,71,1,-1,0,no
4,-970,0,1,0,4,2,489,1,-1,0,yes
4,948,1,1,0,12,8,204,2,-1,0,no
4,0,0,1,0,22,7,455,2,-1,0,no
4,874,0,1,0,18,11,190,2,-1,0,no
4,106,1,0,0,11,8,588,2,-1,0,no
9,1152,0,1,0,21,7,168,5,-1,0,no
0,179,0,1,0,29,1,194,4,436,1,no
4,442,0,0,0,29,7,102,3,-1,0,no
2,8104,1,1,0,6,2,213,2,-1,0,no
9,308,1,1,0,22,8,77,2,-1,0,no
0,602,1,1,0,1,6,324,3,90,2,yes
9,273,0,1,0,29,1,84,3,183,3,no
6,50,1,1,0,29,1,168,1,-1,0,no
9,1641,0,1,0,17,4,380,1,-1,0,no
4,80,1,1,0,20,10,676,2,146,2,yes
3,499,1,1,1,16,3,80,4,-1,0,no
1,1269,0,1,0,29,1,549,2,-1,0,no
1,1143,0,0,0,10,7,412,1,-1,0,no
4,37,1,1,0,28,1,253,2,-1,0,no
0,462,0,0,0,6,4,272,1,335,4,no
0,1031,0,1,0,17,7,84,1,-1,0,no
4,9009,1,1,0,20,11,135,2,-1,0,no
0,-465,0,0,0,23,7,166,1,-1,0,no
0,5181,0,0,0,31,7,18,7,-1,0,no
0,176,0,1,0,5,5,147,2,347,1,no
0,0,0,1,0,17,11,65,2,119,1,no
9,172,0,0,0,2,2,194,2,-1,0,no
7,0,1,0,0,11,7,333,2,-1,0,no
0,6979,0,1,0,15,5,14,5,-1,0,no
6,1972,0,1,0,23,7,61,2,-1,0,no
0,899,0,1,1,19,11,377,3,7,4,no
7,21,0,1,0,2,2,96,1,271,2,no
9,23,0,1,0,8,5,152,2,347,1,no
5,-1206,0,1,0,15,6,382,2,-1,0,yes
1,0,0,0,1,23,7,97,6,-1,0,no
6,215,0,1,0,29,7,543,12,-1,0,no
4,1372,1,1,0,20,11,240,2,-1,0,no
8,9216,1,1,0,5,6,471,2,-1,0,no
5,39,0,1,0,30,7,354,3,-1,0,no
7,1,1,0,0,21,11,152,2,-1,0,no
9,782,1,1,0,3,4,285,1,-1,0,no
5,3771,1,1,1,15,4,185,1,181,2,yes
9,992,0,1,0,4,5,301,1,88,2,no
9,1526,1,1,0,6,8,273,2,-1,0,no
9,2658,0,1,0,19,8,768,2,141,3,yes
4,1315,0,1,0,19,11,1337,4,126,1,no
1,455,1,1,1,21,4,403,1,-1,0,yes
9,0,0,1,0,18,11,139,2,-1,0,no
9,2030,0,0,0,9,7,196,1,-1,0,no
9,1599,0,1,0,8,7,115,1,61,1,no
7,-196,0,1,0,2,2,60,1,271,1,no
5,1333,1,1,0,28,8,17,14,-1,0,no
9,9149,0,1,0,13,8,141,3,-1,0,no
9,432,0,1,0,15,5,10,2,373,1,no
6,11494,1,1,0,19,11,198,1,-1,0,no
4,-253,1,1,0,12,8,220,4,-1,0,no
4,372,0,1,0,3,8,654,2,-1,0,yes
9,1410,1,1,0,11,8,71,2,-1,0,no
1,975,0,1,0,13,5,256,2,351,2,no
1,305,0,0,1,10,7,834,10,-1,0,no
7,400,1,1,0,21,8,151,3,-1,0,no
5,-22,0,1,0,31,7,20,3,-1,0,no
6,204,1,1,0,13,8,111,7,-1,0,no
4,1691,0,1,0,20,11,186,1,-1,0,no
9,-204,1,1,0,15,5,297,3,-1,0,no
9,359,0,1,0,20,4,210,1,242,1,no
1,123,0,1,0,18,5,9,1,-1,0,no
9,0,0,0,0,23,9,112,1,62,6,no
9,33,0,1,0,13,5,195,3,351,10,no
1,0,0,1,0,26,7,768,2,91,5,no
8,3096,1,1,0,26,1,123,1,-1,0,no
9,20,1,1,0,27,8,145,3,-1,0,no
1,3576,0,1,0,2,4,124,1,308,2,no
10,1634,0,1,0,22,7,168,4,-1,0,no
0,1,0,1,0,22,7,483,7,-1,0,no
6,4012,1,1,0,19,11,690,3,-1,0,no
4,3762,1,1,0,28,8,125,12,-1,0,no
4,0,0,1,0,28,1,60,1,250,1,no
10,0,1,1,0,27,5,123,2,-1,0,no
4,484,0,1,0,11,7,144,2,-1,0,no
9,0,1,0,0,8,5,9,2,172,5,no
4,395,0,1,0,9,2,155,3,-1,0,no
4,2349,1,1,0,14,8,134,5,-1,0,no
1,410,1,0,0,11,7,221,2,-1,0,no
5,3401,0,1,0,3,2,84,3,265,2,no
1,222,1,1,0,8,8,71,2,-1,0,no
4,415,1,0,0,23,7,361,2,-1,0,no
10,16,1,1,0,12,8,119,4,-1,0,no
9,7190,0,1,0,29,7,375,2,-1,0,no
1,482,1,0,0,10,7,1097,3,-1,0,yes
3,209,0,0,0,25,7,97,1,-1,0,no
9,0,1,1,0,26,8,181,2,-1,0,no
9,5803,1,1,0,2,2,83,3,-1,0,no
2,624,1,0,0,21,7,180,4,-1,0,no
9,883,1,1,0,18,8,543,1,78,2,no
9,-988,0,0,0,15,7,83,3,-1,0,no
0,902,0,1,1,31,7,58,13,-1,0,no
7,1007,1,1,0,29,7,88,6,-1,0,no
7,0,0,1,0,2,6,297,1,28,3,no
1,174,0,0,0,18,5,487,1,-1,0,yes
6,524,0,1,0,21,11,484,4,-1,0,no
1,0,0,1,0,21,7,262,4,-1,0,no
3,11219,1,1,0,12,8,699,2,79,1,no
9,0,1,1,0,28,8,247,2,-1,0,no
1,5776,1,1,0,18,11,49,3,-1,0,no
1,37,0,1,0,13,5,341,1,-1,0,no
1,1148,0,1,0,20,4,121,1,-1,0,no
4,49,0,1,0,17,7,312,5,-1,0,no
0,69,1,0,0,4,8,120,3,1,6,yes
1,4108,0,1,0,7,8,526,2,-1,0,yes
7,4994,1,1,0,18,8,62,6,-1,0,no
9,0,0,0,0,15,7,135,5,-1,0,no
4,3681,1,1,0,14,8,101,2,-1,0,no
4,451,1,1,0,28,1,451,1,-1,0,no
2,593,0,0,0,24,7,1484,24,-1,0,yes
1,759,0,1,0,9,4,317,5,-1,0,yes
5,4531,1,1,0,18,5,445,1,-1,0,no
5,1840,1,1,0,1,6,383,2,188,5,no
1,345,0,1,1,22,7,605,1,-1,0,no
1,1287,0,1,0,14,7,330,2,-1,0,no
9,205,1,0,0,23,7,442,2,-1,0,no
2,687,0,1,0,17,4,772,1,-1,0,yes
0,605,1,1,0,18,11,147,2,-1,0,no
1,8545,0,0,0,6,5,199,7,167,1,no
1,2,0,1,0,30,7,783,3,-1,0,no
4,2,1,0,0,20,8,472,2,-1,0,no
0,760,0,1,0,27,5,223,3,89,2,yes
1,182,1,1,0,4,2,56,1,-1,0,no
2,2971,1,1,0,4,5,429,4,164,2,yes
1,-67,1,1,0,2,2,157,1,-1,0,no
6,179,1,0,0,29,7,79,4,-1,0,no
4,1199,1,1,0,4,8,178,1,1,1,yes
9,6699,1,1,0,9,11,425,1,462,1,no
10,1760,1,0,0,19,11,162,1,-1,0,no
2,145,0,1,0,18,7,799,2,-1,0,yes
10,978,1,1,0,29,dec,1370,3,209,3,yes
0,121,1,1,0,22,7,22,6,-1,0,no
9,828,0,1,0,16,4,215,3,321,3,no
0,244,0,1,0,31,7,56,4,-1,0,no
7,228,0,1,0,21,7,1017,6,-1,0,yes
4,424,1,1,0,16,4,298,4,-1,0,yes
4,1410,0,1,0,5,2,8,1,254,5,no
5,1084,1,1,0,14,10,201,1,183,1,no
6,10924,1,1,0,6,5,106,2,-1,0,no
4,832,0,0,0,21,11,164,1,176,1,no
5,478,1,1,0,5,2,97,1,-1,0,no
4,0,1,0,0,23,7,151,1,-1,0,no
1,219,0,0,0,11,5,270,2,347,1,no
4,1602,1,1,0,29,7,339,3,-1,0,no
4,2587,1,1,0,4,9,328,2,94,2,yes
6,2303,0,1,0,6,5,323,2,364,1,no
1,1660,0,1,0,20,4,342,1,-1,0,no
4,32,0,1,0,21,11,180,1,-1,0,no
4,278,1,0,0,28,7,60,3,-1,0,no
4,4,1,1,0,17,11,223,1,96,2,no
4,318,0,1,0,18,5,1434,2,356,4,no
0,4099,1,1,0,2,4,397,2,-1,0,yes
8,2572,0,1,0,5,5,620,1,-1,0,no
4,339,1,1,0,21,11,6,6,-1,0,no
1,0,0,0,0,7,5,209,2,-1,0,no
1,2039,0,1,0,18,11,283,2,-1,0,no
4,5450,1,1,0,8,8,188,2,-1,0,no
8,780,1,1,0,16,9,267,1,-1,0,no
9,0,0,1,0,7,4,196,2,-1,0,no
4,8436,0,1,0,17,4,245,1,149,2,no
9,11262,1,1,0,26,8,323,1,-1,0,yes
2,946,0,1,0,19,11,1065,1,183,1,no
5,55,1,1,0,4,6,207,1,-1,0,no
9,-379,0,1,0,5,8,261,1,-1,0,no
0,-396,0,1,0,11,5,80,1,308,4,no
7,0,0,1,0,18,5,131,6,363,9,no
4,393,0,1,0,14,5,567,3,275,4,yes
7,468,0,1,0,13,5,109,1,-1,0,no
1,0,0,1,0,30,4,53,1,325,1,no
5,9676,1,1,1,27,3,234,2,-1,0,yes
7,1328,0,1,1,13,5,121,2,341,4,no
1,8,0,1,0,15,7,155,2,-1,0,no
1,61,1,1,0,17,4,108,1,-1,0,no
1,1005,1,1,0,12,5,215,1,-1,0,no
4,1240,0,1,0,4,2,505,2,260,1,no
9,0,1,1,0,27,8,106,4,-1,0,no
1,43,0,1,0,14,5,332,2,358,2,no
0,613,0,1,0,4,6,80,1,-1,0,no
9,6101,1,1,0,4,5,60,5,87,1,no
1,168,0,0,1,13,5,212,3,-1,0,no
1,7685,0,1,0,14,4,493,3,-1,0,no
9,4515,0,1,0,19,11,98,2,-1,0,no
1,517,1,0,0,8,7,681,1,-1,0,yes
1,148,1,1,0,22,7,203,1,-1,0,no
5,-285,1,0,0,19,11,157,1,-1,0,no
6,3098,0,1,0,7,8,159,2,-1,0,no
9,130,1,1,0,8,7,202,2,-1,0,no
4,438,0,1,1,8,5,37,3,303,1,no
0,0,1,1,0,28,1,161,1,98,2,yes
4,322,1,1,0,6,8,72,4,-1,0,no
1,186,1,1,0,2,2,342,1,-1,0,no
5,3810,0,1,0,16,11,262,1,183,1,yes
4,0,1,1,0,13,8,325,2,-1,0,no
1,4380,1,1,1,19,8,223,7,-1,0,no
4,755,1,1,0,31,7,1212,4,-1,0,yes
7,2070,1,1,0,29,8,319,2,-1,0,no
1,999,1,1,0,29,1,182,2,-1,0,no
6,167,0,0,0,17,7,330,1,-1,0,no
9,1322,0,0,0,19,11,514,1,-1,0,no
4,502,0,1,0,7,5,551,1,351,1,no
9,1216,0,1,0,16,4,472,2,-1,0,no
4,876,0,1,0,15,4,140,4,327,2,no
4,542,0,1,0,20,11,1816,1,-1,0,no
4,995,1,1,0,4,2,200,3,-1,0,no
4,20,0,1,0,12,5,418,1,-1,0,no
9,228,0,1,0,22,7,387,4,-1,0,no
1,130,1,1,0,5,5,156,1,337,3,no
4,217,1,0,0,21,7,121,2,-1,0,no
6,259,0,1,0,7,5,47,1,-1,0,no
0,619,0,1,0,20,4,16,5,322,4,no
4,644,0,1,0,18,11,54,2,-1,0,no
4,22,0,1,0,6,8,265,2,-1,0,no
0,239,0,1,0,7,5,115,3,-1,0,no
9,275,1,1,0,26,8,31,8,-1,0,no
4,1221,0,1,1,25,7,279,4,-1,0,yes
5,816,1,1,0,1,9,28,2,-1,0,no
1,1222,0,1,0,20,4,369,1,-1,0,no
5,2262,1,1,0,22,4,155,1,-1,0,no
0,2,1,1,0,10,7,89,1,-1,0,no
2,2,0,1,0,17,11,180,1,-1,0,no
9,4508,0,1,0,18,11,854,1,-1,0,yes
0,-402,0,1,0,17,4,46,1,-1,0,no
1,34,0,1,0,5,5,321,2,-1,0,no
4,795,1,1,0,28,8,99,24,-1,0,no
6,5462,1,1,0,30,4,430,1,-1,0,yes
7,402,1,0,0,7,7,264,1,-1,0,no
9,641,1,1,0,16,7,156,6,-1,0,no
4,36,1,1,0,26,5,118,1,102,2,no
1,283,0,1,0,7,8,226,3,-1,0,no
1,3102,0,1,0,20,11,138,1,-1,0,no
1,889,0,1,0,10,9,185,1,99,5,yes
3,0,1,1,1,3,2,722,1,99,4,no
4,10378,0,1,0,17,11,523,3,-1,0,no
4,8969,0,1,0,17,11,153,1,-1,0,no
2,15,0,1,0,10,7,121,1,-1,0,no
0,4608,1,1,0,12,3,212,1,-1,0,yes
5,7802,1,1,1,4,5,421,1,92,2,yes
4,237,0,1,1,9,7,236,4,-1,0,no
9,694,0,1,0,4,2,97,4,196,5,no
4,0,1,1,0,14,7,109,8,-1,0,no
4,55,0,1,0,2,6,112,2,-1,0,no
7,-404,0,1,0,22,7,502,3,-1,0,no
4,641,0,1,0,13,8,347,2,-1,0,no
0,1796,1,1,1,16,3,295,1,91,2,yes
0,22,1,1,0,26,8,388,6,-1,0,yes
9,244,0,1,0,12,8,1735,4,-1,0,yes
3,7317,0,1,0,13,5,172,1,370,1,no
9,4943,0,0,0,19,11,117,2,-1,0,no
4,515,0,1,0,19,11,501,2,-1,0,no
4,12607,1,1,0,14,8,203,5,84,1,no
0,2,0,0,1,25,7,282,9,-1,0,no
4,13,1,1,0,28,8,110,5,-1,0,no
8,103,1,1,0,10,7,104,2,-1,0,yes
4,3872,1,1,0,15,10,231,1,-1,0,no
6,217,1,0,0,15,7,193,6,-1,0,no
1,428,0,1,0,12,5,92,1,-1,0,no
1,315,1,1,0,23,6,1407,1,-1,0,yes
1,121,0,0,0,6,2,168,1,212,2,no
4,820,0,1,0,17,7,738,3,-1,0,no
9,195,0,1,0,18,2,220,1,63,5,yes
4,-381,0,1,0,31,7,30,29,-1,0,no
10,757,1,1,0,20,4,103,1,325,4,no
1,1925,0,1,0,20,4,904,2,-1,0,yes
4,902,0,1,0,14,5,159,1,367,2,no
5,5207,1,1,0,11,9,336,1,81,2,no
2,665,1,1,1,17,11,238,1,-1,0,no
0,738,0,1,0,21,11,585,4,191,4,no
1,233,1,1,0,8,8,293,3,-1,0,no
10,66,1,1,0,9,7,218,3,-1,0,no
7,2567,0,1,0,14,5,109,1,360,2,no
4,1584,0,1,1,21,11,661,1,-1,0,no
7,182,0,1,0,6,5,145,1,-1,0,no
4,76,0,1,1,18,5,54,4,-1,0,no
0,663,0,1,0,20,4,111,1,-1,0,no
1,15,1,1,0,3,6,136,1,-1,0,no
1,1054,1,1,0,4,8,273,1,-1,0,no
4,1529,1,1,0,30,6,160,1,-1,0,no
4,63,1,1,0,28,7,76,4,-1,0,no
9,0,1,1,0,19,8,44,1,-1,0,no
0,3696,1,1,0,12,7,250,2,181,4,yes
7,0,0,1,0,23,7,198,13,-1,0,no
0,2465,1,1,0,20,8,157,3,-1,0,no
1,0,0,1,0,24,7,90,6,-1,0,no
6,2,1,1,0,5,2,236,2,-1,0,no
4,0,1,1,0,16,7,118,5,-1,0,no
4,12437,1,1,1,18,11,40,1,-1,0,no
8,378,0,1,0,17,4,346,1,-1,0,no
9,-228,0,1,0,20,4,187,3,332,3,no
5,2747,1,1,0,11,9,113,1,80,1,no
0,1314,0,1,0,8,5,682,2,85,7,no
1,2275,1,1,0,25,8,139,9,-1,0,no
4,1304,1,1,0,6,8,501,2,-1,0,yes
1,720,1,0,0,24,7,651,1,-1,0,yes
9,2914,0,1,0,18,8,405,13,-1,0,no
8,11555,1,1,0,8,4,125,2,-1,0,no
7,-302,0,1,0,13,5,36,2,-1,0,no
9,2497,0,1,0,21,11,35,1,176,1,no
9,56,0,0,0,29,1,194,1,247,1,no
6,211,1,1,0,29,1,168,3,-1,0,no
10,0,1,1,0,30,1,3025,2,-1,0,no
8,459,1,1,0,16,3,83,13,-1,0,no
6,1138,1,1,0,14,8,219,10,-1,0,no
4,1319,0,1,0,16,4,427,1,150,1,no
5,1,1,1,0,19,8,65,5,-1,0,no
7,67,0,1,0,5,5,192,2,-1,0,no
7,0,0,0,0,11,5,161,1,-1,0,no
4,-558,0,1,0,21,7,533,1,-1,0,no
1,171,1,1,0,4,2,19,3,175,2,no
9,696,1,0,0,5,2,193,1,176,8,no
4,361,0,0,0,28,7,819,3,-1,0,no
9,227,1,1,0,30,4,278,1,-1,0,yes
0,236,0,0,1,4,5,211,3,-1,0,no
4,-53,1,1,0,29,1,617,2,-1,0,no
9,192,0,1,0,23,7,61,2,-1,0,no
4,38,0,1,0,25,7,197,6,-1,0,no
6,518,0,1,0,18,5,34,7,-1,0,no
6,16,0,0,0,18,7,95,4,-1,0,no
1,105,1,0,0,4,7,668,2,-1,0,no
9,1048,1,0,0,21,7,405,1,-1,0,no
9,660,1,1,0,22,6,115,1,-1,0,no
10,0,0,1,0,10,7,108,1,-1,0,no
3,201,0,1,0,7,8,58,2,382,1,no
3,189,1,1,0,8,8,148,4,-1,0,no
9,1413,0,1,1,28,7,75,3,-1,0,no
5,264,0,0,0,8,7,523,3,-1,0,no
2,54,0,0,1,18,11,103,1,-1,0,no
1,12519,0,1,0,17,4,146,2,147,4,no
7,2881,1,1,0,2,7,356,1,-1,0,yes
1,0,0,1,0,17,7,71,1,-1,0,no
0,88,0,0,0,8,8,189,2,-1,0,no
9,119,1,1,0,23,7,127,8,-1,0,no
10,1594,1,1,1,4,2,197,1,-1,0,no
9,342,0,0,0,5,5,84,1,-1,0,no
2,81,1,1,0,21,7,262,3,-1,0,no
6,231,1,1,0,7,8,352,2,-1,0,yes
9,1161,0,1,0,9,4,236,1,336,1,no
4,231,0,0,0,25,7,568,2,-1,0,no
4,36,1,1,0,27,8,105,2,-1,0,no
9,1570,0,1,0,26,5,260,1,-1,0,no
9,7050,1,1,0,11,8,222,3,182,4,yes
9,6619,0,1,0,21,8,239,8,-1,0,no
1,-84,0,1,0,11,5,426,1,-1,0,no
4,1509,1,1,0,12,5,333,1,58,3,no
6,1134,1,1,0,6,2,174,2,-1,0,no
4,9449,0,1,0,8,5,428,1,-1,0,no
5,374,0,0,0,16,7,236,1,-1,0,no
9,88,1,1,0,29,8,150,2,-1,0,no
4,2764,1,1,0,24,dec,237,1,206,2,no
4,2,0,0,0,25,7,1031,8,-1,0,yes
9,8023,1,1,0,30,11,107,1,105,3,no
5,0,1,1,0,18,3,140,10,-1,0,no
4,280,1,0,0,18,11,155,1,-1,0,no
6,33,1,1,0,6,8,165,4,-1,0,no
1,275,1,0,0,10,7,144,5,-1,0,no
2,890,0,0,0,28,8,27,10,-1,0,no
6,548,1,1,0,12,8,1181,4,-1,0,yes
9,272,1,1,0,26,8,103,2,-1,0,no
4,6269,0,1,1,18,11,249,3,112,2,no
2,178,0,1,0,5,5,231,4,-1,0,no
4,252,0,0,0,13,4,123,2,147,3,no
3,23663,0,1,0,16,4,199,2,146,2,no
2,81,1,1,0,5,2,197,1,199,3,no
7,1343,1,0,0,8,7,220,1,-1,0,no
5,225,1,1,0,7,8,122,6,-1,0,no
5,2538,0,1,0,31,7,307,6,-1,0,no
5,43,1,1,0,11,3,117,1,91,1,no
9,57,1,1,0,5,5,253,1,342,1,no
4,-117,0,1,0,17,7,770,2,-1,0,no
9,666,0,0,0,3,4,190,1,133,1,no
4,0,0,1,0,16,7,767,5,-1,0,yes
9,25,0,1,0,1,6,232,2,-1,0,yes
2,1034,0,1,0,19,11,854,2,170,3,no
9,0,1,1,1,16,11,986,1,94,8,no
4,0,1,1,0,19,11,66,1,-1,0,no
4,621,1,0,0,2,2,114,1,208,1,no
5,138,1,1,0,17,7,205,1,-1,0,no
9,4063,1,0,1,28,7,31,4,-1,0,no
9,310,0,1,0,6,2,200,1,253,1,no
10,1281,1,1,0,31,7,45,3,-1,0,no
9,64,0,1,0,12,5,239,4,278,2,no
4,2,0,1,1,11,5,168,3,-1,0,no
1,60,1,0,0,26,8,196,2,-1,0,no
9,251,1,0,0,29,8,156,2,-1,0,no
6,4153,0,1,0,31,7,35,16,-1,0,no
9,985,0,1,0,19,2,88,2,-1,0,no
7,168,1,1,0,1,6,347,3,140,2,yes
7,1550,0,1,0,16,4,126,2,149,8,no
4,7708,0,1,0,21,11,157,5,-1,0,no
4,6483,1,1,1,19,10,123,1,-1,0,no
8,1161,1,0,0,16,6,119,1,-1,0,no
4,1430,1,1,0,18,11,231,2,-1,0,no
5,35,1,0,0,8,7,123,4,-1,0,no
6,6000,0,1,0,18,11,265,1,-1,0,no
9,0,0,1,0,15,7,144,1,-1,0,no
2,0,1,1,0,5,5,74,1,168,4,no
7,3,0,1,0,10,7,183,1,-1,0,no
9,445,0,1,0,24,7,631,1,-1,0,no
4,874,1,1,0,12,8,1282,6,-1,0,yes
9,123,1,1,0,19,8,264,1,-1,0,no
3,39,1,1,0,31,7,149,2,-1,0,no
9,102,1,1,0,28,1,321,2,-1,0,no
8,1790,1,1,0,17,4,224,1,322,3,no
4,15311,1,1,0,29,4,157,6,-1,0,no
